generation,rank_1,rank_2,swapAccepted
354000,2,4,0
355000,3,7,0
356000,2,4,0
357000,2,8,0
358000,2,8,0
359000,4,6,0
360000,4,7,0
361000,2,3,0
362000,5,6,1
363000,1,8,0
364000,5,7,0
365000,4,5,1
366000,2,4,0
367000,1,3,0
368000,3,7,0
369000,1,2,1
370000,3,4,1
371000,2,8,0
372000,1,5,0
373000,7,8,0
374000,1,7,0
375000,1,8,0
376000,2,4,0
377000,4,5,0
378000,2,7,0
379000,3,4,1
380000,6,8,0
381000,1,3,0
382000,1,7,0
383000,2,5,0
384000,6,8,1
385000,2,7,0
386000,1,7,0
387000,2,6,0
388000,5,7,0
389000,3,4,0
390000,5,6,0
391000,1,7,0
392000,6,8,0
393000,2,4,1
394000,7,8,1
395000,3,4,1
396000,1,7,0
397000,1,2,0
398000,5,6,1
399000,3,7,0
400000,5,6,1
401000,2,4,0
402000,1,8,0
403000,6,8,0
404000,3,8,0
405000,3,8,0
406000,1,4,0
407000,3,8,0
408000,1,8,0
409000,2,4,0
410000,3,7,0
411000,2,5,0
412000,4,7,0
413000,5,8,0
414000,1,8,0
415000,1,3,0
416000,2,4,0
417000,6,7,1
418000,3,5,0
419000,5,7,0
420000,3,7,0
421000,6,8,0
422000,5,6,1
423000,2,3,1
424000,1,8,0
425000,5,8,0
426000,3,6,0
427000,1,5,0
428000,5,6,1
429000,2,4,0
430000,4,7,1
431000,4,5,1
432000,2,8,0
433000,1,6,0
434000,3,7,0
435000,7,8,0
436000,4,7,0
437000,3,8,0
438000,1,2,1
439000,3,4,1
440000,5,6,1
441000,3,4,0
442000,3,7,0
443000,4,8,0
444000,5,8,0
445000,1,3,0
446000,5,7,1
447000,6,8,0
448000,6,7,1
449000,4,8,0
450000,3,6,0
451000,3,4,1
452000,5,7,1
453000,2,8,0
454000,4,8,0
455000,4,7,0
456000,6,8,1
457000,2,6,0
458000,6,8,1
459000,4,5,1
460000,1,6,0
461000,1,3,0
462000,1,5,0
463000,5,8,0
464000,1,6,0
465000,2,4,0
466000,3,7,0
467000,2,4,0
468000,1,8,0
469000,6,8,0
470000,4,5,0
471000,4,5,1
472000,1,3,1
473000,4,6,0
474000,2,4,1
475000,1,5,0
476000,5,7,0
477000,6,7,1
478000,6,7,1
479000,1,4,0
480000,5,8,0
481000,4,7,0
482000,1,5,0
483000,1,2,1
484000,1,2,1
