generation,N_shifts,logPrior,logLik,eventRate,acceptRate
124000,1,0.292217,-79.5813,0.778178,0.502049
125000,2,0.446042,-81.3079,1.19417,0.482
126000,1,-1.82003,-76.7732,0.609379,0.416
127000,1,-2.51645,-76.3503,1.52579,0.425
128000,1,-0.044577,-77.7591,1.58586,0.418
129000,1,-1.73916,-79.119,1.88576,0.45
130000,1,-2.39632,-79.2715,1.35426,0.44
131000,1,-3.35094,-79.6231,1.15045,0.471
132000,1,-2.44427,-80.3998,2.78881,0.463
133000,1,-1.82959,-81.3937,2.96522,0.507
134000,1,1.48407,-76.5297,0.280749,0.541909
135000,1,-1.66243,-78.5987,0.882962,0.459564
136000,1,-2.63909,-76.3997,0.43323,0.423
137000,3,1.98465,-77.9657,0.919606,0.454
138000,1,-1.94972,-76.3569,2.66504,0.528649
139000,1,1.75623,-77.8888,0.223146,0.523
140000,3,-0.608276,-78.0982,2.30383,0.519
141000,4,-3.41359,-80.5236,2.14642,0.535
142000,1,0.0637802,-81.2302,0.632979,0.572
143000,1,1.66628,-80.1275,1.06696,0.503
144000,1,-1.97672,-79.7488,2.63666,0.497
145000,1,0.799461,-77.1407,0.663814,0.554
146000,1,0.831087,-77.6702,0.41259,0.464
147000,1,0.583143,-78.017,0.763369,0.53
148000,2,-0.671929,-78.4485,1.25253,0.537
149000,1,-2.26142,-76.5451,1.54229,0.526
150000,2,-0.157739,-75.6199,1.31172,0.524
151000,1,-5.81453,-81.3352,2.26697,0.526
152000,1,-1.51454,-77.1233,2.04501,0.478
153000,1,-1.0662,-78.8522,1.60132,0.524
154000,1,-7.3579,-78.6108,1.01314,0.458
155000,1,-0.471871,-77.6538,1.13179,0.432
156000,1,-1.56138,-77.5934,1.73149,0.462
157000,1,-3.44312,-78.4194,0.649061,0.492
158000,1,2.31727,-80.3328,0.531387,0.529154
159000,1,0.971322,-78.1587,0.509758,0.532
160000,1,-0.490236,-81.3602,0.663799,0.502923
161000,1,1.91619,-79.2275,0.799041,0.531
162000,1,0.883289,-79.0631,0.445214,0.55
163000,1,0.0640768,-79.8844,0.301397,0.535
164000,1,-1.673,-77.8415,0.854712,0.502
165000,1,2.24823,-82.185,0.769009,0.461
166000,1,-0.232809,-77.8717,0.880303,0.499
167000,1,-0.0994186,-78.2166,1.26568,0.5032
168000,1,1.47766,-78.5954,1.02724,0.528088
169000,1,-2.08972,-78.8341,1.37981,0.518
170000,1,-4.9017,-79.5543,4.73064,0.518
171000,1,-1.63802,-81.9376,2.43135,0.543
172000,1,2.43704,-77.1691,0.998048,0.520385
173000,1,0.5304,-78.8401,1.24213,0.553
174000,2,-3.80353,-76.8878,4.96942,0.53
175000,2,0.207604,-79.4091,0.979756,0.529
176000,2,-2.50117,-76.8913,2.80517,0.578
177000,3,2.8811,-78.5415,2.42616,0.545
178000,1,-0.00301171,-76.7738,0.659684,0.53
179000,4,3.97363,-76.5094,2.0579,0.4875
180000,2,0.0283917,-76.2088,1.92353,0.577
181000,4,-1.48501,-76.7529,2.81425,0.547
182000,1,2.7452,-80.9931,0.296488,0.527064
183000,1,-2.44977,-77.0379,0.625581,0.538438
184000,1,1.09265,-79.0488,1.02882,0.506833
185000,1,0.210669,-77.1711,0.411646,0.529526
186000,1,0.680855,-78.8078,0.684765,0.539
187000,2,-2.51847,-79.4956,1.27502,0.525867
188000,1,1.89877,-76.9649,0.221895,0.57
189000,1,1.00877,-77.0453,1.59699,0.521
190000,2,4.46009,-74.1038,0.720573,0.475976
191000,2,0.380814,-77.8843,1.01449,0.562
192000,2,-0.793399,-75.7262,1.82438,0.544
193000,3,1.95475,-76.1528,1.87741,0.605
194000,2,-1.83414,-77.7284,2.80924,0.511
195000,2,-2.8318,-75.47,0.898382,0.525
196000,1,-1.5845,-77.0534,2.40215,0.538067
197000,0,-0.51274,-87.8796,2.39819,0.543273
198000,1,0.940884,-79.4083,0.783474,0.45
199000,1,0.523097,-80.5346,2.28253,0.531
200000,1,1.9332,-79.6111,1.335,0.538
201000,1,-0.362208,-77.207,0.707959,0.562
202000,1,1.30103,-78.1335,0.149942,0.507385
203000,2,0.668489,-78.759,1.12118,0.533
204000,2,0.370531,-77.8141,1.18922,0.481
205000,2,-1.7913,-76.8818,2.58364,0.510826
206000,1,-2.02444,-77.6736,0.787552,0.539826
207000,1,-0.181167,-78.1081,0.258134,0.515
208000,0,0.71377,-88.3014,1.52999,0.447
209000,1,0.655069,-77.7662,1.35303,0.477
210000,2,0.958274,-77.5786,0.592568,0.558
211000,1,1.03923,-78.9364,0.821263,0.524
212000,1,-0.117006,-78.3171,1.53096,0.494364
213000,1,-3.59374,-77.5149,1.96722,0.478
214000,1,0.994389,-81.5978,0.178345,0.481
215000,1,-1.52176,-79.3478,0.55733,0.482
216000,1,0.629214,-77.4786,1.25989,0.482
217000,1,-1.75913,-76.8158,1.08696,0.479
218000,1,1.25301,-88.7737,2.07091,0.447
219000,0,-0.252319,-87.2402,0.0640366,0.366
220000,0,1.17695,-88.6003,0.395423,0.335
221000,1,0.973281,-77.6305,0.374531,0.522
222000,1,-4.24678,-78.7062,0.970689,0.519471
223000,2,2.74733,-79.5788,0.707828,0.507
224000,1,-2.05724,-78.9473,2.66157,0.526
225000,1,-0.297185,-79.5176,0.762189,0.532
226000,1,0.965666,-76.8433,0.341359,0.513405
227000,1,1.4182,-81.8238,0.606728,0.501
228000,2,1.47345,-81.8864,1.54477,0.513235
229000,1,1.22994,-81.3734,0.358995,0.513
230000,1,1.07437,-78.7549,0.22359,0.535
231000,1,0.173939,-79.068,2.09188,0.477
232000,1,0.191751,-81.9793,0.672648,0.489
233000,1,-2.2868,-76.4357,0.880987,0.46
234000,1,0.205136,-80.7951,0.693396,0.483
235000,1,0.796554,-79.4281,1.78986,0.467
236000,1,1.06146,-78.3272,0.295256,0.517
237000,2,-0.729239,-81.0804,1.15127,0.546
238000,1,-1.96963,-75.8819,1.98273,0.53
239000,2,-1.16295,-82.4115,2.001,0.45
240000,1,-4.03454,-76.3438,1.29509,0.479
241000,1,-3.13221,-80.4286,0.274807,0.451
242000,1,-2.27096,-76.9507,1.11047,0.508048
243000,1,0.10386,-78.1986,0.543853,0.511
244000,1,-0.688579,-80.4337,0.894401,0.518
245000,2,-4.75443,-75.18,2.79718,0.529
246000,1,-1.65815,-76.9264,1.43593,0.505784
247000,2,1.70378,-80.0176,1.76978,0.517
248000,2,-0.0978555,-76.7854,0.12972,0.584
249000,1,-1.07678,-77.1404,0.463255,0.5335
