generation,rank_1,rank_2,swapAccepted
354000,4,8,0
355000,1,6,0
356000,4,8,0
357000,4,7,0
358000,4,7,0
359000,3,8,0
360000,1,8,0
361000,4,6,0
362000,2,3,1
363000,5,7,0
364000,1,2,0
365000,2,8,0
366000,2,4,0
367000,5,6,1
368000,1,5,0
369000,4,6,0
370000,2,5,0
371000,6,7,1
372000,4,8,0
373000,1,6,0
374000,1,4,0
375000,4,6,1
376000,5,7,1
377000,7,8,0
378000,1,5,0
379000,2,7,0
380000,3,4,0
381000,6,7,1
382000,1,7,0
383000,5,8,0
384000,3,4,0
385000,1,5,0
386000,1,7,0
387000,4,5,1
388000,1,8,0
389000,2,6,0
390000,5,8,0
391000,1,7,0
392000,3,5,1
393000,2,4,0
394000,1,5,0
395000,4,6,0
396000,5,7,0
397000,2,7,0
398000,3,8,0
399000,4,5,1
400000,3,8,0
401000,2,6,0
402000,1,7,0
403000,1,3,0
404000,1,5,0
405000,1,5,0
406000,6,7,1
407000,1,5,0
408000,1,6,0
409000,2,7,0
410000,4,5,0
411000,2,8,0
412000,4,7,0
413000,1,8,0
414000,1,6,0
415000,5,6,0
416000,2,7,0
417000,3,4,1
418000,5,8,0
419000,4,8,0
420000,4,5,0
421000,1,3,1
422000,1,8,0
423000,2,5,0
424000,3,6,0
425000,1,3,0
426000,2,8,0
427000,1,6,0
428000,1,8,0
429000,5,7,1
430000,4,5,0
431000,4,8,0
432000,3,7,0
433000,1,6,0
434000,2,5,0
435000,3,5,0
436000,5,8,0
437000,2,3,0
438000,6,7,1
439000,2,8,0
440000,1,4,0
441000,2,8,0
442000,5,8,0
443000,2,3,0
444000,1,3,0
445000,6,8,0
446000,1,5,0
447000,3,4,0
448000,1,4,0
449000,2,3,0
450000,1,8,0
451000,2,8,0
452000,4,5,1
453000,3,7,0
454000,3,8,0
455000,4,8,0
456000,1,3,0
457000,3,7,0
458000,1,3,0
459000,5,8,0
460000,1,6,0
461000,2,6,0
462000,6,8,0
463000,3,8,0
464000,1,6,0
465000,5,7,1
466000,2,4,0
467000,5,7,0
468000,3,6,0
469000,1,3,0
470000,7,8,0
471000,7,8,1
472000,2,6,0
473000,1,7,0
474000,5,7,0
475000,2,8,0
476000,4,8,0
477000,1,4,0
478000,1,4,0
479000,2,5,0
480000,3,8,0
481000,4,5,0
482000,2,8,0
483000,2,7,0
484000,2,7,0
485000,4,7,0
486000,5,7,0
487000,2,5,1
488000,5,7,0
489000,6,8,0
490000,3,7,0
491000,2,6,0
492000,1,2,0
493000,3,6,0
494000,1,5,0
495000,4,5,1
496000,7,8,0
497000,2,3,1
498000,1,6,0
499000,5,7,0
500000,1,5,0
501000,1,5,0
502000,2,6,0
503000,3,7,0
504000,2,3,1
505000,3,8,0
506000,7,8,1
507000,1,5,0
508000,3,7,0
509000,1,2,0
510000,5,8,0
511000,3,7,0
512000,4,8,0
513000,2,4,0
514000,4,8,0
515000,3,5,0
516000,1,5,0
517000,3,5,0
518000,5,8,0
519000,2,3,0
520000,1,6,0
521000,2,6,0
522000,1,3,0
523000,2,3,1
524000,7,8,0
525000,1,8,0
526000,1,7,0
527000,1,5,0
528000,4,8,0
529000,2,4,0
530000,5,7,1
531000,3,6,0
532000,2,7,0
533000,7,8,0
534000,4,7,0
535000,1,8,0
536000,1,6,0
537000,6,7,1
538000,7,8,1
539000,2,5,0
540000,4,8,0
541000,4,5,1
542000,2,3,1
543000,3,6,0
544000,3,4,1
545000,5,7,0
546000,1,3,0
547000,3,5,0
548000,4,6,1
549000,5,8,0
550000,3,4,0
