"","Brownian Motion","Ornstein Uhlenbeck","Early Burst","White noise"
"c1.data",695.260864401147,-522.411310803012,-492.951929666991,691.385791517677
"rlga.data",149267.286421926,-104.994850513749,-114.616730766615,153253.671781181
"lncbrt.data",56.7884093091937,57.0045624835649,58.7885318219819,286.757520136627
